customer_id,recency,frequency,monetary,total_quantity,category_diversity,avg_order_value,segment,segment_description
63,291,2,147.12,2,1,73.56,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
64,6,14,1443.84,16,6,103.13142857142857,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
65,7,11,691.38,12,4,62.85272727272727,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
66,84,3,254.89,4,3,84.96333333333332,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
67,1,10,484.95,11,3,48.495,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
69,1,43,3172.32,55,6,73.77488372093023,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
70,53,1,51.5,1,1,51.5,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
71,322,2,100.89,2,2,50.445,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
72,1,16,1297.93,17,6,81.120625,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
73,1,25,2750.85,33,6,110.03399999999999,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
75,5,4,501.47,4,4,125.3675,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
76,67,4,415.84000000000003,5,3,103.96000000000001,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
77,333,2,62.96,3,1,31.48,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
78,0,26,1705.84,41,5,65.60923076923076,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
79,2,11,918.37,14,4,83.48818181818181,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
80,9,7,692.26,8,5,98.89428571428572,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
81,23,2,186.51,2,2,93.255,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
82,226,2,75.55000000000001,2,1,37.775000000000006,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
83,10,14,1181.0,14,5,84.35714285714286,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
84,1,30,4992.99,49,6,166.433,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
85,5,12,611.54,13,5,50.961666666666666,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
86,0,22,1462.7,25,5,66.48636363636363,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
87,189,3,122.73,3,3,40.910000000000004,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
88,74,5,235.81,5,4,47.162,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
89,333,1,85.03,1,1,85.03,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
90,36,3,125.24,3,2,41.74666666666666,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
91,0,20,1914.75,21,5,95.7375,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
92,32,3,205.4,4,2,68.46666666666667,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
93,276,3,44.980000000000004,3,3,14.993333333333334,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
94,12,5,331.37,6,3,66.274,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
95,19,6,308.75,8,3,51.458333333333336,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
96,41,4,547.77,4,4,136.9425,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
97,90,6,475.03000000000003,6,4,79.17166666666667,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
98,53,2,175.95,2,2,87.975,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
99,2,22,2065.78,34,6,93.89909090909092,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
100,0,13,1437.4,13,5,110.56923076923077,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
101,0,31,3312.66,43,6,106.86,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
102,121,3,170.58,3,2,56.86000000000001,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
103,2,9,630.27,10,5,70.03,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
104,13,5,298.0,6,4,59.6,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
105,164,1,116.61,2,1,116.61,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
106,8,12,653.15,12,5,54.42916666666667,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
107,123,4,163.91,4,2,40.9775,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
108,58,4,326.61,5,3,81.6525,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
109,3,11,719.95,13,5,65.45,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
110,2,39,4530.27,61,6,116.16076923076925,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
111,4,13,1393.99,17,6,107.23,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
112,0,17,1123.29,19,5,66.07588235294118,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
113,229,1,10.7,1,1,10.7,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
114,273,1,15.24,1,1,15.24,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
115,149,2,42.13,2,2,21.065,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
117,148,3,60.2,3,1,20.066666666666666,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
118,4,16,1594.08,19,6,99.63,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
119,38,1,54.4,1,1,54.4,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
120,11,4,253.42000000000002,4,3,63.355000000000004,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
121,70,1,166.34,2,1,166.34,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
122,85,2,193.60999999999999,2,2,96.80499999999999,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
123,0,12,1152.19,13,5,96.01583333333333,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
124,4,10,528.62,12,6,52.862,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
125,7,16,1111.21,17,6,69.450625,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
126,215,2,114.60000000000001,2,2,57.300000000000004,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
127,169,3,100.67,3,3,33.556666666666665,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
128,134,1,126.86,2,1,126.86,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
129,0,38,6119.59,58,6,161.04184210526316,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
130,13,5,609.33,5,3,121.86600000000001,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
131,262,2,109.97,3,1,54.985,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
132,1,13,1341.1399999999999,14,5,103.16461538461537,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
133,9,12,922.3100000000001,15,5,76.85916666666667,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
134,1,13,1816.57,15,5,139.73615384615385,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
135,326,1,28.48,1,1,28.48,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
136,9,17,2295.92,20,5,135.05411764705883,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
137,62,5,389.45,7,3,77.89,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
138,110,2,217.34,2,2,108.67,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
139,4,11,978.7099999999999,13,5,88.97363636363636,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
140,114,1,125.31,2,1,125.31,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
142,0,15,1980.23,17,6,132.01533333333333,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
144,0,9,963.78,10,5,107.08666666666666,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
145,15,8,441.58000000000004,8,4,55.197500000000005,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
146,0,34,2996.77,50,6,88.14029411764706,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
147,98,7,371.40000000000003,8,5,53.057142857142864,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
148,5,4,141.69,6,3,35.4225,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
149,4,23,2976.41,33,6,129.4091304347826,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
150,4,11,531.35,12,4,48.304545454545455,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
151,44,1,13.72,1,1,13.72,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
152,0,9,875.2900000000001,10,5,97.25444444444446,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
153,2,12,1363.38,13,5,113.61500000000001,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
154,32,6,497.89,7,5,82.98166666666667,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
156,5,13,1438.31,16,6,110.63923076923076,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
157,39,4,252.83,4,4,63.2075,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
158,48,7,247.62,8,4,35.37428571428571,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
159,2,20,1344.48,25,6,67.224,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
160,291,1,11.4,1,1,11.4,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
161,0,8,816.65,9,4,102.08125,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
162,44,7,353.0,7,4,50.42857142857143,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
164,105,2,199.06,2,1,99.53,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
165,12,18,2229.54,30,5,123.86333333333333,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
166,90,1,13.73,1,1,13.73,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
167,0,19,1076.75,19,5,56.671052631578945,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
168,5,9,531.02,9,6,59.00222222222222,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
169,0,31,2834.63,50,5,91.43967741935484,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
170,84,5,212.6,5,5,42.519999999999996,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
171,82,2,82.58000000000001,2,2,41.290000000000006,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
172,3,43,5766.4800000000005,68,6,134.10418604651164,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
173,60,3,231.17000000000002,3,2,77.05666666666667,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
174,14,10,1282.83,12,4,128.283,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
176,22,7,397.03,7,5,56.71857142857142,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
177,13,2,111.69,3,2,55.845,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
178,0,14,1245.03,17,5,88.93071428571429,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
179,171,2,122.56,3,2,61.28,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
180,7,9,457.87,10,3,50.87444444444444,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
181,6,8,781.19,11,2,97.64875,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
182,11,10,1072.21,12,6,107.221,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
183,16,2,128.3,2,1,64.15,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
184,356,1,18.12,1,1,18.12,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
185,3,16,1213.38,18,5,75.83625,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
186,56,5,290.38,5,3,58.076,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
187,305,1,341.53,1,1,341.53,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
188,97,4,500.34999999999997,5,3,125.08749999999999,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
189,89,5,224.1,5,4,44.82,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
190,10,2,594.95,2,2,297.475,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
191,1,38,4698.25,64,6,123.63815789473684,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
193,215,1,148.34,1,1,148.34,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
194,82,7,649.83,8,4,92.83285714285715,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
195,2,8,946.6999999999999,9,5,118.33749999999999,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
196,0,11,408.33,12,5,37.12090909090909,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
197,289,2,94.91,2,2,47.455,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
199,39,3,447.48,3,2,149.16,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
200,55,4,1041.03,5,3,260.2575,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
201,2,4,521.16,6,2,130.29,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
202,0,46,5948.5599999999995,71,6,129.31652173913042,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
203,6,8,920.78,12,5,115.0975,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
204,9,1,61.88,1,1,61.88,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
206,4,33,2479.11,50,6,75.12454545454545,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
207,3,14,1009.15,17,6,72.08214285714286,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
208,125,4,188.5,4,4,47.125,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
209,0,16,2833.4700000000003,25,6,177.09187500000002,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
210,0,20,2129.19,25,6,106.4595,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
212,183,2,67.66,2,2,33.83,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
213,54,4,190.11,5,3,47.5275,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
214,5,8,571.4200000000001,9,6,71.42750000000001,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
215,93,2,279.53000000000003,2,2,139.76500000000001,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
216,0,21,1974.08,25,6,94.00380952380952,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
217,38,1,74.95,1,1,74.95,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
218,45,1,5.59,1,1,5.59,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
219,44,2,59.55,2,2,29.775,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
221,36,10,760.99,12,6,76.099,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
222,1,3,151.57,4,2,50.52333333333333,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
223,2,31,2446.9,46,5,78.93225806451613,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
224,14,4,208.70999999999998,5,4,52.177499999999995,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
225,1,17,1547.65,20,5,91.03823529411765,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
226,0,20,1263.03,22,6,63.1515,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
227,182,2,58.910000000000004,3,2,29.455000000000002,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
228,4,15,657.28,18,4,43.818666666666665,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
230,82,3,105.62,3,3,35.20666666666667,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
231,6,2,100.60000000000001,2,2,50.300000000000004,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
232,68,5,747.1099999999999,5,4,149.42199999999997,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
233,155,2,113.89,2,2,56.945,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
234,213,3,457.12,4,3,152.37333333333333,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
235,1,10,864.97,10,5,86.497,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
236,113,7,290.19,9,2,41.455714285714286,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
237,1,8,636.1,9,4,79.5125,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
238,0,21,1234.05,33,5,58.76428571428571,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
239,0,1,58.64,2,1,58.64,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
240,14,9,426.19,10,4,47.35444444444445,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
241,227,2,561.73,2,2,280.865,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
242,30,1,34.47,1,1,34.47,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
243,61,2,179.01,3,2,89.505,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
244,1,14,954.05,18,5,68.14642857142857,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
245,0,34,4153.5599999999995,52,6,122.16352941176469,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
246,267,1,14.73,1,1,14.73,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
247,184,2,36.43,3,2,18.215,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
248,125,3,425.15999999999997,4,3,141.72,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
249,242,2,58.51,3,1,29.255,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
250,98,1,21.76,1,1,21.76,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
251,1,13,955.39,14,4,73.49153846153845,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
252,6,15,1496.1,18,6,99.74,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
254,6,10,1426.27,12,4,142.627,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
255,2,24,1190.33,28,6,49.59708333333333,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
256,23,1,68.98,1,1,68.98,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
257,82,1,67.67,2,1,67.67,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
258,6,5,196.08,5,3,39.216,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
259,6,3,54.46,3,1,18.153333333333332,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
260,2,24,2444.04,34,6,101.835,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
261,169,2,32.08,2,1,16.04,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
263,0,21,1025.31,24,5,48.824285714285715,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
264,188,2,234.59,3,2,117.295,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
265,74,1,55.95,1,1,55.95,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
266,44,3,119.95,3,2,39.983333333333334,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
267,13,6,321.83,7,3,53.63833333333333,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
268,12,5,180.16,8,3,36.032,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
269,3,5,423.05,5,4,84.61,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
270,1,12,672.77,13,6,56.064166666666665,0,"VIP Customers: High value, frequent, recent buyers. Focus on retention and premium offerings."
272,102,2,96.12,2,2,48.06,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
273,105,2,90.19,2,1,45.095,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
275,68,3,165.96,3,2,55.32,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
276,112,2,427.39,2,2,213.695,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
277,105,6,1636.1100000000001,8,3,272.685,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
278,94,3,467.4,4,3,155.79999999999998,1,Moderate Customers: Average engagement level. Consider targeted promotions to increase activity.
